ReportId,Name
5253001,Aldi
5252081,Amazon Prime Originals
5252082,American Express
5252083,Apple Mac
5249364,ASDA
5249629,Autoglass
5253003,Betway
5249631,Checkatrade
5253598,Coca Cola
5249634,Currys PC World
5252209,Disney
5252087,Disney+
5249365,EE
5249367,GoCompare
5249368,Haribo
5249369,Heart
5249370,JUST EAT
5249229,Lidl
5252091,McDonald's
5252092,Netflix
5253008,Ocado
5252095,Pepsi
5252096,Playstation
5249697,Premier League
5249699,TalkTalk
5249405,Tesco
5252099,Visa
5252100,Warner Brothers
5252101,Xbox One
5252102,YouTube Originals
